antecedents,consequents,adjusted_confidence
nasi putih,mie,0.6299065420560748
soto ayam,teh,0.8888888888888888
cireng isi;nasi putih,mie,0.7608695652173914
cireng isi;mie,teh,0.5862068965517241
cireng isi;nasi putih,teh,0.5652173913043478
es jeruk;kerupuk,penyetan,0.5
es jeruk;nasi putih,mie,0.5925925925925926
float;nasi putih,mie,0.95
french fries;nasi putih,mie,0.8
french fries;penyetan,teh,0.5760869565217391
gorengan;nasi putih,mie,0.7536231884057971
kopi;nasi putih,mie,0.6206896551724138
nasi goreng;nasi putih,mie,0.875
mie;nasi goreng,teh,0.6046511627906976
nasi putih;penyetan,mie,0.6941176470588235
nasi putih;risol mayo,mie,0.8214285714285714
nasi putih;sosis goreng,mie,0.5675675675675675
nasi putih;tahu krispy,mie,0.84375
mie;nasi putih,teh,0.5252225519287834
nasi putih;teh,mie,0.8194444444444444
mie;telur,nasi putih,0.5161290322580645
mie;penyetan,teh,0.6246153846153846
mie;sayur harian,teh,0.559322033898305
mie;sosis goreng,teh,0.5076923076923077
mie;tahu krispy,teh,0.538961038961039
nasi goreng;nasi putih,teh,0.6666666666666666
nasi goreng;tahu krispy,teh,0.6896551724137931
nasi putih;penyetan,teh,0.5294117647058824
nasi putih;risol mayo,teh,0.5714285714285714
nasi putih;tahu krispy,teh,0.65625
penyetan;sosis goreng,teh,0.5625
penyetan;tahu krispy,teh,0.562962962962963
pisang coklat keju;tahu krispy,teh,0.5588235294117647
sayur harian;tahu krispy,teh,0.5098039215686274
air putih;es jeruk;penyetan,gorengan,0.6153846153846154
air putih;es jeruk;gorengan,penyetan,0.8421052631578947
air putih;gorengan;mie,teh,0.5675675675675675
air putih;mie;penyetan,teh,0.65625
cireng isi;es jeruk;teh,gorengan,0.5111111111111111
cireng isi;mie;nasi putih,gorengan,0.5142857142857142
cireng isi;gorengan;nasi putih,mie,0.9
cireng isi;gorengan;mie,teh,0.6236559139784946
cireng isi;gorengan;penyetan,teh,0.52
cireng isi;mie;nasi putih,teh,0.6285714285714286
cireng isi;nasi putih;teh,mie,0.8461538461538461
cireng isi;mie;penyetan,teh,0.6595744680851063
cireng isi;mie;risol mayo,teh,0.6333333333333333
es jeruk;gorengan;sayur harian,penyetan,0.5
es jeruk;mie;penyetan,teh,0.5178571428571429
float;gorengan;nasi putih,mie,0.9411764705882353
mie;nasi goreng;teh,gorengan,0.5
gorengan;mie;nasi goreng,teh,0.6842105263157895
gorengan;nasi putih;penyetan,mie,0.7272727272727273
gorengan;nasi putih;teh,mie,0.8305084745762712
gorengan;mie;penyetan,teh,0.7073170731707317
gorengan;penyetan;pisang coklat keju,teh,0.5454545454545454
gorengan;penyetan;risol mayo,teh,0.5
gorengan;penyetan;sayur harian,teh,0.5192307692307693
kopi;mie;penyetan,teh,0.5531914893617021
mie;nasi putih;penyetan,teh,0.6101694915254238
nasi putih;penyetan;teh,mie,0.8
mie;nasi putih;tahu krispy,teh,0.7037037037037037
nasi putih;tahu krispy;teh,mie,0.9047619047619048
nasi putih;tahu krispy,mie;teh,0.59375
mie;penyetan;tahu krispy,teh,0.6774193548387096
