antecedents,consequents,confidence
frozenset({'nasi putih'}),frozenset({'mie'}),0.6299065420560748
frozenset({'soto ayam'}),frozenset({'teh'}),0.8888888888888888
frozenset({'cireng isi'; 'sayur harian'}),frozenset({'gorengan'}),0.52
frozenset({'nasi putih'; 'cireng isi'}),frozenset({'mie'}),0.7837837837837838
frozenset({'mie'; 'cireng isi'}),frozenset({'teh'}),0.6081632653061224
frozenset({'nasi putih'; 'cireng isi'}),frozenset({'teh'}),0.5945945945945946
frozenset({'kerupuk'; 'es jeruk'}),frozenset({'penyetan'}),0.5
frozenset({'nasi putih'; 'es jeruk'}),frozenset({'mie'}),0.5925925925925926
frozenset({'nasi putih'; 'float'}),frozenset({'mie'}),0.95
frozenset({'nasi putih'; 'french fries'}),frozenset({'mie'}),0.8
frozenset({'penyetan'; 'french fries'}),frozenset({'teh'}),0.5760869565217391
frozenset({'nasi putih'; 'gorengan'}),frozenset({'mie'}),0.7536231884057971
frozenset({'kopi'; 'nasi putih'}),frozenset({'mie'}),0.6206896551724138
frozenset({'nasi putih'; 'nasi goreng'}),frozenset({'mie'}),0.875
frozenset({'mie'; 'nasi goreng'}),frozenset({'teh'}),0.6046511627906976
frozenset({'penyetan'; 'nasi putih'}),frozenset({'mie'}),0.6941176470588235
frozenset({'risol mayo'; 'nasi putih'}),frozenset({'mie'}),0.8214285714285714
frozenset({'nasi putih'; 'sosis goreng'}),frozenset({'mie'}),0.5675675675675675
frozenset({'nasi putih'; 'tahu krispy'}),frozenset({'mie'}),0.84375
frozenset({'mie'; 'nasi putih'}),frozenset({'teh'}),0.5252225519287834
frozenset({'nasi putih'; 'teh'}),frozenset({'mie'}),0.8194444444444444
frozenset({'mie'; 'telur'}),frozenset({'nasi putih'}),0.5161290322580645
frozenset({'mie'; 'penyetan'}),frozenset({'teh'}),0.6246153846153846
frozenset({'mie'; 'sayur harian'}),frozenset({'teh'}),0.559322033898305
frozenset({'mie'; 'sosis goreng'}),frozenset({'teh'}),0.5076923076923077
frozenset({'mie'; 'tahu krispy'}),frozenset({'teh'}),0.538961038961039
frozenset({'nasi putih'; 'nasi goreng'}),frozenset({'teh'}),0.6666666666666666
frozenset({'tahu krispy'; 'nasi goreng'}),frozenset({'teh'}),0.6896551724137931
frozenset({'nasi putih'; 'penyetan'}),frozenset({'teh'}),0.5294117647058824
frozenset({'risol mayo'; 'nasi putih'}),frozenset({'teh'}),0.5714285714285714
frozenset({'nasi putih'; 'tahu krispy'}),frozenset({'teh'}),0.65625
frozenset({'penyetan'; 'sosis goreng'}),frozenset({'teh'}),0.5625
frozenset({'penyetan'; 'tahu krispy'}),frozenset({'teh'}),0.562962962962963
frozenset({'tahu krispy'; 'pisang coklat keju'}),frozenset({'teh'}),0.5588235294117647
frozenset({'tahu krispy'; 'sayur harian'}),frozenset({'teh'}),0.5098039215686274
frozenset({'air putih'; 'penyetan'; 'es jeruk'}),frozenset({'gorengan'}),0.6153846153846154
frozenset({'air putih'; 'gorengan'; 'es jeruk'}),frozenset({'penyetan'}),0.8421052631578947
frozenset({'air putih'; 'mie'; 'gorengan'}),frozenset({'teh'}),0.5675675675675675
frozenset({'air putih'; 'mie'; 'penyetan'}),frozenset({'teh'}),0.65625
frozenset({'cireng isi'; 'teh'; 'es jeruk'}),frozenset({'gorengan'}),0.5128205128205128
frozenset({'mie'; 'gorengan'; 'cireng isi'}),frozenset({'teh'}),0.654320987654321
frozenset({'mie'; 'cireng isi'; 'nasi putih'}),frozenset({'teh'}),0.6551724137931034
frozenset({'nasi putih'; 'cireng isi'; 'teh'}),frozenset({'mie'}),0.8636363636363636
frozenset({'nasi putih'; 'cireng isi'}),frozenset({'mie'; 'teh'}),0.5135135135135135
frozenset({'mie'; 'penyetan'; 'cireng isi'}),frozenset({'teh'}),0.6923076923076923
frozenset({'gorengan'; 'sayur harian'; 'es jeruk'}),frozenset({'penyetan'}),0.5
frozenset({'mie'; 'penyetan'; 'es jeruk'}),frozenset({'teh'}),0.5178571428571429
frozenset({'nasi putih'; 'float'; 'gorengan'}),frozenset({'mie'}),0.9411764705882353
frozenset({'mie'; 'nasi goreng'; 'teh'}),frozenset({'gorengan'}),0.5
frozenset({'mie'; 'gorengan'; 'nasi goreng'}),frozenset({'teh'}),0.6842105263157895
frozenset({'penyetan'; 'gorengan'; 'nasi putih'}),frozenset({'mie'}),0.7272727272727273
frozenset({'nasi putih'; 'gorengan'; 'teh'}),frozenset({'mie'}),0.8305084745762712
frozenset({'mie'; 'penyetan'; 'gorengan'}),frozenset({'teh'}),0.7073170731707317
frozenset({'penyetan'; 'gorengan'; 'pisang coklat keju'}),frozenset({'teh'}),0.5454545454545454
frozenset({'risol mayo'; 'penyetan'; 'gorengan'}),frozenset({'teh'}),0.5
frozenset({'penyetan'; 'gorengan'; 'sayur harian'}),frozenset({'teh'}),0.5192307692307693
frozenset({'kopi'; 'mie'; 'penyetan'}),frozenset({'teh'}),0.5531914893617021
frozenset({'mie'; 'penyetan'; 'nasi putih'}),frozenset({'teh'}),0.6101694915254238
frozenset({'penyetan'; 'nasi putih'; 'teh'}),frozenset({'mie'}),0.8
frozenset({'mie'; 'tahu krispy'; 'nasi putih'}),frozenset({'teh'}),0.7037037037037037
frozenset({'nasi putih'; 'tahu krispy'; 'teh'}),frozenset({'mie'}),0.9047619047619048
frozenset({'nasi putih'; 'tahu krispy'}),frozenset({'mie'; 'teh'}),0.59375
frozenset({'mie'; 'tahu krispy'; 'penyetan'}),frozenset({'teh'}),0.6774193548387096
